condition,layer,token_position,n_prompts,n_rows,mean_projection,std_projection,min_projection,max_projection,token_window
harmful_k03,16,29,23,23,-0.07396399456521739,0.9357534249794247,-2.0,1.6171875,generated_token
harmful_k03,16,30,23,23,-0.23383364470108695,0.9819571564879805,-1.6796875,1.609375,generated_token
harmful_k03,16,31,23,23,-0.6303923233695652,1.0156465058965316,-2.125,1.328125,generated_token
harmful_k03,16,32,23,23,-0.2722061820652174,1.1218448366273652,-2.09375,1.90625,generated_token
harmful_k03,16,33,23,23,-0.2745414402173913,1.1302685645852855,-2.234375,1.578125,generated_token
harmful_k03,16,34,23,23,-0.14618716032608695,1.1133418137146711,-1.703125,1.7421875,generated_token
harmful_k03,16,35,23,23,-0.2545219089673913,1.0973030760474296,-2.21875,2.0,generated_token
harmful_k03,16,36,23,23,-0.36587126358695654,1.0353213817844937,-1.7578125,2.0,generated_token
harmful_k03,16,37,23,23,-0.10270889945652174,0.9474647904208537,-1.4375,1.671875,generated_token
harmful_k03,16,38,23,23,-0.13392440132472827,1.168520909119871,-1.8203125,2.265625,generated_token
harmful_k03,16,39,23,23,-0.4903617527173913,1.0553209062767863,-2.453125,1.734375,generated_token
harmful_k03,16,40,23,23,-0.6356997282608695,1.1528627414871477,-2.15625,1.796875,generated_token
harmful_k03,16,41,23,23,-0.584610648777174,0.9890271053149483,-2.671875,0.95703125,generated_token
harmful_k03,16,42,23,23,-0.5956447435461957,1.236286258423937,-2.359375,1.8046875,generated_token
harmful_k03,16,43,23,23,-0.47404280952785327,1.29826812303548,-2.28125,2.203125,generated_token
harmful_k03,16,44,23,23,-0.5867017663043478,1.294089526045101,-1.9921875,2.3125,generated_token
harmful_k03,16,45,23,23,-0.7048737899116848,1.104193691887482,-2.078125,1.71875,generated_token
harmful_k03,16,46,23,23,-0.4898522418478261,1.2174392352315697,-2.25,1.734375,generated_token
harmful_k03,20,0,25,25,0.6499609375,0.9233395459440071,-0.91796875,2.15625,generated_token
harmful_k03,20,1,25,25,0.381591796875,1.0587201952051253,-1.59375,2.3125,generated_token
harmful_k03,20,2,25,25,-0.547939453125,0.8309369446617625,-2.078125,1.125,generated_token
harmful_k03,20,3,25,25,-0.6398828125,1.1232931480285218,-2.53125,1.5390625,generated_token
harmful_k03,20,4,25,25,-0.35505859375,1.0122807897305406,-2.453125,1.7734375,generated_token
harmful_k03,20,5,25,25,-0.081142578125,1.1991918829642985,-2.1875,2.15625,generated_token
harmful_k03,20,6,25,25,-0.3396875,1.3903668819145794,-2.484375,2.9375,generated_token
harmful_k03,20,7,25,25,-0.6685546875,1.5557502424176681,-2.703125,4.9375,generated_token
harmful_k03,20,8,25,25,-0.90474609375,1.6420090418383515,-3.34375,2.921875,generated_token
harmful_k03,20,9,25,25,-0.9007421875,1.8151233341148187,-3.84375,3.265625,generated_token
harmful_k03,20,10,25,25,-0.519453125,1.9498712912900291,-2.546875,4.15625,generated_token
harmful_k03,20,11,25,25,-0.536708984375,1.8743933767656158,-3.875,3.453125,generated_token
harmful_k03,20,12,25,25,0.0899609375,2.0640779550971464,-3.96875,3.390625,generated_token
harmful_k03,20,13,25,25,0.5569921875,1.9919106460380507,-2.96875,4.40625,generated_token
harmful_k03,20,14,24,24,0.20654296875,1.9088220299267833,-2.765625,3.8125,generated_token
harmful_k03,20,15,24,24,0.7628173828125,1.8389272520803326,-2.96875,4.125,generated_token
harmful_k03,20,16,24,24,0.3045908610026042,1.915172379335584,-3.59375,4.0625,generated_token
harmful_k03,20,17,24,24,0.3720550537109375,1.6770274632103703,-3.03125,3.359375,generated_token
harmful_k03,20,18,24,24,0.4503275553385417,1.8278514567805908,-3.609375,3.28125,generated_token
harmful_k03,20,19,24,24,0.365264892578125,1.4334054482481453,-2.421875,3.15625,generated_token
harmful_k03,20,20,24,24,0.3668619791666667,1.570004552304445,-2.875,3.265625,generated_token
harmful_k03,20,21,24,24,0.2672220865885417,1.5799303717798663,-2.53125,3.6875,generated_token
harmful_k03,20,22,24,24,0.2531929016113281,1.544769286383616,-2.28125,3.359375,generated_token
harmful_k03,20,23,24,24,0.0479736328125,1.3703430475721476,-3.265625,2.109375,generated_token
harmful_k03,20,24,24,24,0.10648600260416667,1.3349015485053872,-3.453125,2.484375,generated_token
harmful_k03,20,25,24,24,-0.22614288330078125,1.3091165832807443,-2.609375,3.125,generated_token
